GEO_ID,Geographic Area Name,Women15to50,Women15to19,Women20to34,Women35to50
6001,"Alameda County, California",427733,46562,188101,193070
6003,"Alpine County, California",174,37,43,94
6005,"Amador County, California",5754,858,2283,2613
6007,"Butte County, California",52862,7714,26142,19006
6009,"Calaveras County, California",7655,1016,2978,3661
6011,"Colusa County, California",4664,794,1914,1956
6013,"Contra Costa County, California",269717,35662,105355,128700
6015,"Del Norte County, California",5185,949,1946,2290
6017,"El Dorado County, California",37492,5410,13703,18379
6019,"Fresno County, California",239042,35480,108816,94746
6021,"Glenn County, California",6132,983,2519,2630
6023,"Humboldt County, California",32311,4501,15326,12484
6025,"Imperial County, California",40738,6620,17527,16591
6027,"Inyo County, California",3318,373,1421,1524
6029,"Kern County, California",209010,31877,94303,82830
6031,"Kings County, California",32966,4931,15405,12630
6033,"Lake County, California",12243,1861,4697,5685
6035,"Lassen County, California",4154,574,1744,1836
6037,"Los Angeles County, California",2577554,315646,1151226,1110682
6039,"Madera County, California",38733,5293,17123,16317
6041,"Marin County, California",51327,7218,16222,27887
6043,"Mariposa County, California",2948,275,1287,1386
6045,"Mendocino County, California",17655,2472,7010,8173
6047,"Merced County, California",66106,11490,28532,26084
6049,"Modoc County, California",1473,160,703,610
6051,"Mono County, California",3276,584,1412,1280
6053,"Monterey County, California",100576,15354,44029,41193
6055,"Napa County, California",31293,4429,12582,14282
6057,"Nevada County, California",17483,2476,6611,8396
6059,"Orange County, California",777250,101633,326856,348761
6061,"Placer County, California",84310,11893,30756,41661
6063,"Plumas County, California",3118,434,1159,1525
6065,"Riverside County, California",580306,87226,245955,247125
6067,"Sacramento County, California",375388,46231,167783,161374
6069,"San Benito County, California",14475,2193,5947,6335
6071,"San Bernardino County, California",536529,76423,239014,221092
6073,"San Diego County, California",815716,99405,373737,342574
6075,"San Francisco County, California",236518,15593,123317,97608
6077,"San Joaquin County, California",178373,26765,75423,76185
6079,"San Luis Obispo County, California",62311,10899,28331,23081
6081,"San Mateo County, California",182548,19552,74861,88135
6083,"Santa Barbara County, California",109180,19098,51274,38808
6085,"Santa Clara County, California",474154,55668,201041,217445
6087,"Santa Cruz County, California",67553,11648,29596,26309
6089,"Shasta County, California",37300,4932,16269,16099
6091,"Sierra County, California",436,42,132,262
6093,"Siskiyou County, California",7673,1143,3080,3450
6095,"Solano County, California",101768,12939,44882,43947
6097,"Sonoma County, California",110553,14812,45657,50084
6099,"Stanislaus County, California",130452,19084,56900,54468
6101,"Sutter County, California",21942,3114,9545,9283
6103,"Tehama County, California",13180,1893,5439,5848
6105,"Trinity County, California",2138,281,643,1214
6107,"Tulare County, California",111085,18266,48774,44045
6109,"Tuolumne County, California",9287,1205,3857,4225
6111,"Ventura County, California",198490,28063,82804,87623
6113,"Yolo County, California",61729,11036,30640,20053
6115,"Yuba County, California",17812,2303,8313,7196